metier_original,occurrences,mots_malgache,mots_francais
MAKA VILONA OMBY,1,omby,
MITSOKA MOZIKA,1,,
MAMOLY VARY,1,"mam, var, vary",
PANGADY VOLAMENA,1,,
MAMPIANATRA ECOLE PRIVE,1,"mpi, mam",
"MIVAROTRA PRODUITS LOCAUX : VARY, CAFE, LEGUMES",1,"miv, var, vary",
MPAMPIANATRA AO AMIN MASERA,1,"mpi, mpam",
MIOTY SOANAMBO,1,,
MPAMPIANATRA MATHS AO AM LYCEE,1,"mpi, mpam",
MPANJARY TSIHY SY SAHAFA,1,mpan,
NIJINJA VARY HO AN'NY TOKATRANO,1,"var, vary, trano, rano",
NANETSA VARY HO AN'NY TOKATRANO,1,"var, vary, trano, rano",
MPANAO AKANJO BA,1,mpan,
mpajono,1,,
MANAO Asa fambolena vary manampy fianakaviana,1,"man, var, famb, vary",
MANADIO ILOT DE LA VIERGE,1,man,
VOATAVO,1,,
Aide chauffeur tracteur,1,,chauffeur
MIKIRAKIRA VANILLE,1,,
MANO VENTE EN LIGNE,1,man,
RESPONSABLE MAGASIN,1,,responsable
MPANAMPY @ FAMBOLENA VARY SY KATSAKA,1,"var, famb, vary, katsaka, mpan",
MPIVAROTRA BAR,1,"mpi, var",
FAMBOLENA VARY MANAMPY FIANAKAVIANA,1,"man, var, famb, vary",
MANAO SARAKATSAHA MANETSA VARY,1,"man, var, vary",
MANAMPY FIANAKAVINA,1,man,
MIVAROTRA ENTANA EN GROS ET EN DETAIL,1,"miv, var, entana",
FIKARAKARANA VOLY POIVRE VERT,1,voly,
FAMBOLENA POIVRE VERT,1,famb,
NANAMPY OLONA NY ASA TRANO IZY TAMINY 2 HERINANDRO,1,"trano, rano",
MIVAROTRA PIECE AUTO,1,"miv, var",
PARAMEDE,1,,
ADJOUINT TECHNIQUE DEA EAUX ET FORET,1,,
COMMERCE VANILLE ET GIROFLE,1,,
MIKARAMA MANASA LAMBA @ TOKATRANO IRAY,1,"man, lamba, trano, rano, karama",
MPANDRAFITRA TRANO HAZO SY TOLE,1,"trano, rano, mpan",
MIVAROTRA TONGOLO LAY SY OIGNON ARY SAKAITANY,1,"miv, var, tany",
REPARATEUR TELEPHONE SIMBA,1,,
PERSONNEL CIVIL DE LA GENDARMERIE,1,,
GARDE MANGROVE AO AMIN'NY EDEN PROJECT,1,man,
FIVAOTANANA LAMBA CONFECTION,1,lamba,
VAROTRA EPICERIE,1,var,
GARDIEN'NY SOCIETE D'IMPRIMERIE CREACOM,1,,
MANAMPY MAMANY,1,"mam, man",
"MIVAROTRA NEM,SAMBOS,CATLESS,MOFO LAISOA",1,"miv, var, mofo",
EMBALLEUR,1,,
MIKARAMA MITAIZA ZAZA,1,karama,
MIMBINA PAOMPY A JETON,1,,
MANASA LAMBAN TOKATRANO MAROMARO,1,"man, lamba, trano, rano",
PROGRAMMEUR INFORMATIQUE DES MACHINES POUR TEXTILE,1,,
MANOTOTRA SAKAMALAO,1,man,
MPAMPIANATRA ENY AMIN'NY CEG,1,"mpi, mpam",
MPIVAROTRA AO AMIN'NY GROSSISTE,1,"mpi, var",
FIVAROTANA TRONDRO,1,var,
MIVAROTRA HAZAN-DRANOMASINA MANDEHANDEAHA,1,"man, miv, var, rano",
MENUISIER DE BOIS,1,,
MPAMATOTRA DRAKAKA,1,mpam,
couturière,1,,
MPANARATO TRONDRO MAMY,1,"mam, mpan",
MPANADIO TANIMBOLY,1,"mboly, mpan",
MPANJONO PATSA MENA SY CREVETTE,1,mpan,
MPAMPIANATRA AMIN'NY PRESCOLAIRE EPP AMBILA LEMAIN,1,"mpi, mpam",
MPANJONO ANDRANOMASINA SY ANDRANOMAMY,1,"mam, rano, mpan",
MAMBOLY ALGUE,1,"mam, mboly",
DIRECTEUR EPP SANJAHANA,1,,directeur
MPIVAROTRA SAKAFO MASAKA AMORON-DALANA,1,"mpi, var",
MIVAROTRA HEN'OMBY,1,"miv, var, omby",
CAISSIERE OTIV,1,,
TALE,1,,
CHAUFEUR CAMIONEUR,1,,
DOKERA AO @ORIN'ASA,1,,
MPIKARAMA MPAMBOLY LOJY,1,"mpi, mboly, karama, mpam",
MPIVAROTRA PIECE AOTOMOBILE,1,"mpi, var",
MPIVAROTRA FITAOVAM-PIANARANA,1,"mpi, var",
MPANANDRO,1,mpan,
MIVAROTRA SY MAMBOATRA BALAMBOAY,1,"mam, miv, var",
RESPONSABLE SILC,1,,responsable
MPIVAROTRA MASOMBOLY,1,"mpi, var, mboly",
CHEF FOKONTANY,1,tany,chef
MPAMBOLY TONGOLO,1,"mboly, mpam",
MPANAMBOATRA SY MPIVAROTRA DITE COLA,1,"mpi, var, mpan",
NIVAROTENA,1,var,
MIVAROTRA GODROGODRO SY BAJIA,1,"miv, var",
MPIVAROTRA SIRA VAINGANY,1,"mpi, var",
MANAO SY MIVAROTRA LA SOUPE,1,"man, miv, var",
MIVIDY VATO FLEUR MENA,1,miv,
MIOMPY LANDY,1,,
MIANTOKA AKOHO SY ONDRY,1,akoho,
MIVAROTRA CACAPIGEON,1,"miv, var",
FAMBOLENA HANANA,1,famb,
ENSEIGNANT A L'ECOLE PRIMAIRE PUBLIQUE,1,,
MPAMPIANATRA COUPE ET COUTURE,1,"mpi, mpam",
SECRETAIRE D'ECOLE,1,,secretaire
MANJAITRA SY MIVAROTRA AKANJON'ANKIZY,1,"man, miv, var",
MAMBOLY MANAMPY FIANAKAVIANA,1,"mam, man, mboly",
MAMBOLY VARY MANAMPY NY VADINY AMIN'NY ASA FAMBOLE,1,"mam, man, var, famb, vary, mboly",
MAMBOLY VARY ANTANETY MANAMPY RAY AMANDRENY,1,"mam, man, var, vary, mboly",
MAMBOLY VARY MANAMPY FIANAKAVIANA NY RAY AMANDRENY,1,"mam, man, var, vary, mboly",
MAMBOLY VARY MANAMPY FIANAKAVIANA AMINY ASA ATAO,1,"mam, man, var, vary, mboly",
MPIOMPY KISOA SY VORONA,1,mpi,
PMAMBOLY VOANJO,1,"mam, mboly",
MANARATO TSITSIKY,1,man,
MPAMONO BIBIKELY AMIN'NY VOLY,1,"voly, mpam",
MAMOKATRA FITAOVANA VITA AMIN PLASTIKA,1,mam,
MACHINIESTE,1,,
MANDRARY FANDAMBANANA,1,man,
MAMBOLY VARY MANGAHAZO KATSAKA,1,"mam, man, var, vary, katsaka, mboly",
MANBOLY VARY MANGAHAZO KATSAKA,1,"man, var, vary, katsaka",
"MAMBOLY VARY MANGAHAZO,",1,"mam, man, var, vary, mboly",
LAVAGE AUTOMOBILE,1,,
MPIVAROTRA SY MPIANTOKA HARONA,1,"mpi, var",
MPAMPOLALAO DOMY,1,mpam,
MAMBOLY HARICOT,1,"mam, mboly",
MPIASA TANY (SARAKATSAHA),1,"mpi, tany",
MANBOLY VARY MANGAHAZO,1,"man, var, vary",
MPANAO LIVRAISON MOFO,1,"mofo, mpan",
MIVAROTRA AM BAR,1,"miv, var",
"NAMBOLY VARY,OVY,KATSAKA,VOMANGA,POMA",1,"man, var, vary, katsaka, mboly",
MPIOMPY KISOA SY OMBY,1,"mpi, omby",
MECANICIENS,1,,
DOCKER @GROSSISTE,1,,
AGENT MOBILIER,1,,agent
MPAMPIANATRA T1@ EPP MAHERIFODY,1,"mpi, mpam",
NIASA TANY MBARY,1,tany,
MPANJAITRA (MACHINISTE AO AMINY ZONE),1,mpan,
MANAMBOATRA HANI-MASAKA,1,man,
MANAMBOATRA SAMBO,1,man,
INSPECTEUR DES IMPOTS,1,,
INSPECTEUR DE DOMAINE,1,,
MIVAROTRA THE COLA,1,"miv, var",
PREPARATION DE SISAL,1,,
IRAKIRAKIRA,1,,
MPANDRAY FRAIS ENTANA,1,"entana, mpan",
MPITRANDRAKA VOLAMEA,1,mpi,
FEMME DE MENAGE CHEZ ISITEC,1,,
VENDEUSES TELEPHONE,1,,
MAMBOLY VOANJ0,1,"mam, mboly",
MPIVAROTRA FANAFODY,1,"mpi, var",
MANDRARY SATROKA,1,man,
VENDEUSE DU RAKETA MENA,1,,
VENDEUSE DES POISSONS,1,,
MPANAMBOATRA SY MPIVAROTRA BETSABETSA,1,"mpi, var, mpan",
MPAMBOLY VARY SY FARY,1,"var, vary, mboly, mpam",
MPIVAROTRA ESSENCE ANTSINJARANY AMORON DALANA,1,"mpi, var",
"MANAMPY MAMBOLY OVY,VARY,KATSAKA ARY MANGAHAZO",1,"mam, man, var, vary, katsaka, mboly",
"MPAMBOLY OVY,VARY,KATSAKA ARY MANGAHAZO",1,"man, var, vary, katsaka, mboly, mpam",
"MPAMBOLY VARY,OVY,MANGAHAZO ARY KATSAKA",1,"man, var, vary, katsaka, mboly, mpam",
"MPAMBOLY OVY,MANGAHAZO,VARY KATSAKA",1,"man, var, vary, katsaka, mboly, mpam",
MIKARAMA MITONDRA TIKTIK,1,karama,
MPITATITRA ZEZIKA AMINY SARETY,1,mpi,
MPIAMBINALINA,1,mpi,
MIVAROTRA ROFIANGE,1,"miv, var",
MAMBOLY TSARAMASO SY VARY ARY KATSAKA,1,"mam, var, vary, katsaka, mboly",
MIVAROTRY TRAKA,1,"miv, var",
MPIVAROTRA PPN MITETY TSENA,1,"mpi, var",
AGENT IMMOBILIER,1,,agent
NANASALABA,1,,
DOKER ENTANA,1,entana,
TRCOTEUSE AU ZONES FRANCE,1,,
MANAO BODOFOTSY,1,man,
"MANAMPY MAMBOLY VARY,OVY,KATSAKA,MANGAHAZO",1,"mam, man, var, vary, katsaka, mboly",
"MANAMPY MAMBOLY OVY, VARY,KATSAKA SY MANGAHAZO",1,"mam, man, var, vary, katsaka, mboly",
COMMERCIAL JUMBO SCORE,1,,
JOURNALISTE,1,,
MANASAZ LAMBA,1,"man, lamba",
MPANASA LAMABA,1,mpan,
MPIVAROTRA KATLESY,1,"mpi, var",
MAMBOLY VARY MANAMPY NY VADINY,1,"mam, man, var, vary, mboly",
REPARATEUR ELECTRONICIEN,1,,
MPIVAROTRA PANNEAU SOLAIRE,1,"mpi, var",
CAUFFEUR BAJAJ,1,,
"NAMBOLY VARY,OVY,KATSAKA,TSARAMASO,POMA,VOMANGA",1,"man, var, vary, katsaka, mboly",
"NAMBOLY VARY,KATSAKA,VOMANGA,OVY,POMA,TSARAMASO",1,"man, var, vary, katsaka, mboly",
MAMBOLEM-BARY,1,mam,
Mmpianatra@EPP Ambilombe CR Manampaneva,1,"mpi, man, mpan",
MPIVAROTRA CREDIT,1,"mpi, var",
GERANTE RESTAURANT,1,,
CONSULTANT COMPTABLE INFORMATIQUE,1,,comptable
JOURNEE,1,,
MPAMPIDITRA CREDIT,1,"mpi, mpam",
SECRETAIRE JUGE D'INSTRUCTION PAC,1,,secretaire
CHEF DE SERVICE DE L'INSPECTION PEDAGOGIQUE,1,,chef
TELEOPERATEUR,1,,
AIDE CHAUFFEUR CAMIONNET,1,,chauffeur
ASA HORAKY,1,,
MIASA HORAKY,1,,
MPIVAROTRA TOMATE,1,"mpi, var",
MECANICIEN AUTO-MOTO,1,,
PANIVANA VOLAMEN,1,,
MPINDRANDRAKA VOLAMENA,1,mpi,
"MIVAROTRA PATSA,CREVETTE,VOANEMBA,TSARAMASO ETC...",1,"miv, var",
MAMPIANATRA @ CEG MANAMPANEVA,1,"mpi, mam, man, mpan",
Miandry omby,1,omby,
MPANJAITRA AMIN NY MACHINE INDUSTRIELLE,1,mpan,
GARDIEN MIAMBINA TANANA,1,,
SARAKANTSAHA MIHAVA VARY,1,"var, vary",
ANIMATEUR DE PROJET,1,,
MAMBOLY VARY MANAMPY NY RAD,1,"mam, man, var, vary, mboly",
FAMBOLENA VARY ANKORAKY MANAMPY NY VADINY,1,"man, var, famb, vary",
MPAMPIANATRA ECOLE PINOANA JESOSY MAMONJY,1,"mpi, mam, mpam",
MAMBOLY FRAISE,1,"mam, mboly",
PASTEUR FIANGONANA JESOSY MAMONJY,1,mam,
TIRAGE DE VANILLE,1,,
FIVAROTANA LASARY MANGA AMIN'NY TAVOAHANGY,1,"man, var",
MPAMBOLY ANANAN,1,"mboly, mpam",
SKIPPER ( chauffeur vedette),1,,chauffeur
ASSISTANCE INFIRMIERE,1,,
ANIMMATRICE VENTE COSMETIQUE,1,,
CROUPIER,1,,
MANAO SYMIVAROTRA CAFE SY MOFO,1,"man, miv, var, mofo",
VAROTRA ENTA-MADINIKA,1,var,
AIDE CHAUFFEUR AMINY CAMIONNETTE,1,,chauffeur
MIVAROTRA AMIN'NY GARGOTTE,1,"miv, var",
MANAO RUDOMETALLIQUE,1,man,
GESTIONNAIRE DE CLIENT,1,,
"MAMBOLY VARY, ANANA, COCOMBRE",1,"mam, var, vary, mboly",
MPIVAROTRA TANTELY ENY AN-TSENA,1,"mpi, var",
MPIVAROTRA AMORONDALANA MAHABIBO,1,"mpi, var",
POLICE MINICIPALE,1,,
MIANTOKA POMMA ENY AMIN TANTSAHA,1,,
MPAMONO OMBY,1,"omby, mpam",
MPAMPIANATRA @EPC,1,"mpi, mpam",
MIVAROTRA HANINA MASAKA,1,"miv, var",
REPARATION ELECTRIQUE,1,,
MIKARAMA AM OMBY,1,"omby, karama",
MIOMPY KISOA OMBY BITRO AKOHO,1,"omby, akoho",
MIOMPY AKOHO BITRO KISOA,1,akoho,
MIOMPY OMBY AKOHO KISOA BITRO,1,"omby, akoho",
MANAMBOATRA TARETRA ATAO KOFE,1,man,
MIVIDY SY MIVAROTRA TONGOLO OIGNONS,1,"miv, var",
MACHINISTE PIQUAGE TEXTILE,1,,
COLLECTEUR DE POISSON,1,,
ANGENT COMERCIAL CANAL PLUS,1,,
FITANTERANA OLONA amin'ny LAKANA,1,,
MIAMBINA TANANA,1,,
MPANMBOLY,1,"mboly, mpan",
MAMPIANATRA COURS PHILO,1,"mpi, mam",
MAMPIANATRA PRIMAIRE PRIVE,1,"mpi, mam",
KIBAROA (MAMBOLY VARY),1,"mam, var, vary, mboly",
MANIVANA VLAMENA,1,man,
MPAMBOLY VARY MANDINIKA,1,"man, var, vary, mboly, mpam",
MANAMPY MIVAROTRA SAKAY SY VOATABIA,1,"man, miv, var",
MIVAROTRA AKOHO SY LEGUME,1,"miv, var, akoho",
CHAUFFEUR CAMION MITONDRA VANILLE,1,,chauffeur
MANAO SY MIVAROTRA HANI MASAKA,1,"man, miv, var",
MANAMBOATRA LAONA SY FANOTO,1,man,
MIASA VARY SY KAZAHA,1,"var, vary",
MIVAROTRA LAMBA FRIP MANDE,1,"man, miv, var, lamba",
MITANTANA ORINASA MIVAROTRA CONFECTION,1,"miv, var",
MAGASINIER @MACHINE MANOTO VARY,1,"man, var, vary",
MACHINISTE MANAO CONFECTION AKANJO,1,man,
SECRETAIRE DE BUREAU ACEP MADAGASCAR TSARAMANDROSO,1,man,secretaire
"MIVAROTRA COMPOSE,JUS",1,"miv, var",
MAMBOLY VARY SY LA VANILE,1,"mam, var, vary, mboly",
TSARAKATSA,1,,
MIVARONTENA,1,"miv, var",
CONDUCTEUR BISCYLETTE,1,,
MITANTANA MVOLA,1,,
MANAMPY MIVAROTRA CONFECTION,1,"man, miv, var",
RAFITRA,1,,
MANAMBOATRA FINDAY,1,man,
MIVAROTRA TSINEFO,1,"miv, var",
MPAMBOLY KATSAKA SY MANGAHAZO,1,"man, katsaka, mboly, mpam",
CHEF CUSINE,1,,chef
MIVAROTRA LAMBA EN GROS,1,"miv, var, lamba",
MIASA MANAO CANAL,1,man,
MANDOMAKY,1,man,
MANAMPY MABOLY VARY SY TSAKO,1,"man, var, vary",
TRANSPORTEUR MAMPANOFA FIARA PRIVE,1,"mam, mpan",
MIKARAMA MAKA TOAKA,1,karama,
MIVAROTRA MANDEHA MITETY TSENA,1,"man, miv, var",
MPIVAROTRA COQUILLAGE,1,"mpi, var",
MPIFANTINA VOANJO,1,mpi,
OUVRIER AO AM SOCIETE LJA,1,,ouvrier
MANAMBOATRA SY MIVAROTRA GODROGODRO MAHOGO,1,"man, miv, var",
MIVIDY SY MIVAROTRA FONTSY,1,"miv, var",
MPAMPIANATRA @ EPP SOALALA,1,"mpi, mpam",
CHAUFFEUR SERVICE JIRAMA,1,,chauffeur
MIVAROTRA SAVOKA,1,"miv, var",
EMPLOYE D'AGENCE DE VOYAGES,1,,
AGENT COMMERCIALE,1,,agent
FIBREUR,1,,
TRANSPORT KUBOTA,1,,
MANAO VATO,1,man,
SAGE FEMME AMINY AMINY HOPITAL CSB 2 TSARATANANA,1,,
MAPIANATRA SECONDAIRE,1,,
MIOMPY AKOHO AMAMBORONA,1,"mam, akoho",
CHAUFFEUR PATRONAL,1,,chauffeur
DOKERA AO AMIN'NY PORT,1,,
AIDE SOIGNANT,1,,
MPIVAROTRA TRONDROMAINA MANDEHANDEHA,1,"mpi, man, var",
NANASA LAMBA AN OLONA,1,lamba,
MIVAROTRA KETAPOTSY,1,"miv, var",
MIVAROTRA YAOURT MAISON,1,"miv, var",
MANJAITRA GANT,1,man,
MAMBOLY LAISOA SY VOATABIA,1,"mam, mboly",
MPAMBOLY VOATABIA SY HARICOT VERT,1,"mboly, mpam",
MITAONA VATO,1,,
"MAMBOLY VARY, BALAHAZO",1,"mam, var, vary, mboly",
MAMBOLY VARY;BALAHAZO,1,"mam, var, vary, mboly",
MIVAROTRA @EPICERIE,1,"miv, var",
"MAMBOLY VARY , TOMATES",1,"mam, var, vary, mboly",
"MAMBOLY VARY,TOMATES,",1,"mam, var, vary, mboly",
MIBATA ENTA,1,,
GUICHETIER PAYEUR,1,,
CHAUFFEUR KIBOTA MPITATITRA ENTANA,1,"mpi, entana",chauffeur
SARAN'ANTSAHA,1,,
PRESIDENT DE LA COMITE DE LA GESTION COMMUNAUTAIRE,1,,
CHEF MAINTENANCE AMIN'ny hopital,1,,chef
MIVROTRA FIA,1,miv,
MPAMBOATRA LAKA,1,mpam,
MAMPIANATRA AMINY AMBARATONGA FAHAROA,1,"mpi, mam",
MACHINISTE ZONE FRANCE,1,,
OUVRAGE METALLIQUE,1,,
MITOTOVARY AMIN MACHINE,1,"var, vary",
MANATITRA SY MITSENA MPIANATRA,1,"mpi, man",
ELECTRICIEN ET PLOMBIER,1,,"electricien, plombier"
MPAMBOLY MAHOGO,1,"mboly, mpam",
MIVAROTRA TEKATEKA,1,"miv, var",
CONTROLEUR DES AGENT D'INTERVENTION,1,,agent
MPAMBOLY VOANEMBA(lozy),1,"mboly, mpam",
MPANAMPY MANAO GLAGE,1,"man, mpan",
MANAO TOKA GASY,1,man,
CHAUFFEUR BADJAJE,1,,chauffeur
MPAMBPLY LA VANILLE,1,mpam,
MPANBOLY LA VANILLE,1,mpan,
MPANEFY VY MAHALEO TENA,1,mpan,
MANAMBOATRA FATANA MITSITSY,1,man,
MIVAROTRA POULLE DE SEUR,1,"miv, var",
MPIVAROTRA KATSAKA AMORON-DALANA,1,"mpi, var, katsaka",
DOKERA MIBATA ENTANA EO AM STATIONNEMENT,1,entana,
FANAOVANA ASA ANTRANO,1,"trano, rano",
MIANTOKA RONONO VELONA,1,,
RESPONSABLE D'ARCHIVE MINISTER TOURISSMEµ,1,,responsable
MAMBOLY VARY.VOANJO.ANANA,1,"mam, var, vary, mboly",
MPAMBOLY TSARAMASO SY VOANJOBORY ARY MIOMPY AKOHO,1,"akoho, mboly, mpam",
KIBAROA MIHAVA VOANJO,1,,
GERANT MULTISERVICE,1,,
ENSEIGNANT AU PRE PRIMAIRE ET PRIMAIRE,1,,
CHAUFFEUR BAJABJ,1,,chauffeur
MPIVAROTRA TSARAMASO,1,"mpi, var",
MPAMBOLY SY MIVAROTRA VANILLE,1,"miv, var, mboly, mpam",
MPANAO CROCHER MPIASA @ZONE FRANCHE,1,"mpi, mpan",
MITSIMPONA JOROFO,1,,
MIVAOTRA VARY,1,"miv, var, vary",
REDACTRICE WEB,1,,
INSPECTEUR IMPOT,1,,
MIVAROTRA COURGETTE VOATABIA A L'ETALE AO ANTSENA,1,"miv, var",
MIVAROTRA BOMBON COCO MANDENDEHA ANY TANA,1,"man, miv, var",
MIKARAKARA LA VANILLE,1,,
MPIVAROTRA MINE-SAO,1,"mpi, var",
MPIVAROTRA ETAMADINIKA,1,"mpi, var",
MIVAROTRA SOLOMASO,1,"miv, var",
CUISINE,1,,
OUVRIER METALIQUE,1,,ouvrier
MAMBOLY VARY....,1,"mam, var, vary, mboly",
MAMBOLY VARY KATSAKA TSARAMSO,1,"mam, var, vary, katsaka, mboly",
MAMBOLY VARY SONJO TSARAMASO MANGAHAZOSOJA VOANJOL,1,"mam, man, var, vary, mboly",
MPAMB0LY KABARO,1,mpam,
MITONDRA KALESY,1,,
MANAMPY MIVAROTRA LEGIOMA AMBONGADINY,1,"man, miv, var",
MIVAROTRA LEGIOMA AMBONGADINY,1,"miv, var",
MPIVAROTRA HAZO SY BARARATA,1,"mpi, var",
MPIANTOKA HAZO SY BARARATA,1,mpi,
MAMBOLY KABARO,1,"mam, mboly",
MIKARAMA SARAKANTSAHA,1,karama,
MANAO POKETRA,1,man,
MIKARAMA SAKARANO,1,"rano, karama",
MITALY LALOASY,1,,
MANDRADRANA TADY GASY,1,man,
MPANDRARY TAPIS,1,mpan,
MANAMPY MAMBOLY ANANA SY HERICOT VERT,1,"mam, man, mboly",
FAMBOLENA ANANA SY HERICOT VERT,1,famb,
MPANAO PETEKOFEHY,1,mpan,
MIVAROTRA KATELESE NEM PATY,1,"miv, var",
MANGALA RANO,1,"man, rano",
MANOTRA SY MAMPITERAKA,1,"mpi, mam, man",
ASA TANANA,1,,
MIVELY VARY,1,"miv, var, vary",
MIVAROTRA SAKAFO,1,"miv, var",
NAMBOLY VOANJO BE,1,mboly,
KIBAROA NA SARAKANTSAHA,1,,
BABICITAIRE,1,,
MPANERA BAJAJ,1,mpan,
MITSONGO ILANGILANGY,1,,
AIDE MAç0N,1,,
MPAMPIANATRA LANGUE ITALIEN EN LIGNE,1,"mpi, mpam",
MAMPANOFA TAXIE,1,"mam, mpan",
OPERATEUR POLIVALENT,1,,
CONTROLE QUALITE AMIN ZONE,1,,
MPIVAROTRA ENTANA MADINIKA KELY,1,"mpi, var, entana",
KIBAROA MIHAVA TANY,1,tany,
MATRONNE,1,,
MIASA VATO SAROBIDY,1,,
VAROMANDEHA AKANJO CONFECTION,1,"man, var",
MPIVAROKENA KISO SY OMBY,1,"mpi, var, omby",
MAMBOLY TSARAMASO VOANJO KATSAKA,1,"mam, katsaka, mboly",
MAMBOLY TSARAMASO KATSAKA VOANJO,1,"mam, katsaka, mboly",
TALEN-TSEKOLY,1,,
MAMPIANATRA LYCEE,1,"mpi, mam",
MITSIPONA SY MIVAROTRA RAVINA JIROFO,1,"miv, var",
COMTABLE,1,,
"MANETSA, MIAVA VARY",1,"man, var, vary",
"MPAMBOLY VARY,KATSAKA,KAROTY SY HARICOT VERT ARYOV",1,"var, vary, katsaka, mboly, mpam",
MIVAROTRA SY MANERA AKONDRO MANTA ENY ANTSIRABE VI,1,"man, miv, var",
"NANMBOLY VARY,KAROTY,SOJA,VOMANGA,MANGAHAZO,petit",1,"man, var, vary, mboly",
"NAMBOLY VARY,KAROTY,MANGAHAZO,VOMANGA,KATSAKA,SOJA",1,"man, var, vary, katsaka, mboly",
CONTROLEUR ENTANA,1,entana,
CUISINERE AU RESTAURANT,1,,
MPIVAROTRA SAKAFO MASAKA ENY AMORONDALANA,1,"mpi, var",
MPIVAROTRY JUS,1,"mpi, var",
BARMETTE,1,,
MPANAO PHOTOCOPIE,1,mpan,
MIVAROTRA LASOPY MANDEHANDE,1,"man, miv, var",
MANAO MENAKA YLANG YLANG,1,man,
MIVAROTRA RAVISONJO,1,"miv, var",
VOMIERAN NY FOKONTANY,1,tany,
VICE PRESIDENT FOKONTANY,1,tany,
MANADIO KILY,1,man,
MPANAMBOATRA HANIMASAKA MOFO DITE CAFE,1,"mofo, mpan",
MPAMPIANATRA FRAM AMIN NY EPP,1,"mpi, mpam",
MIVAROTRA GARGOTTE SY BAR,1,"miv, var",
MESUREUR DE VANILLE,1,,
VERIFICATEUR DE LA VANILLE,1,,
MIKIRAKIRA LAVANILLE,1,,
MANAMPY MIVAROTRA VOATABIA,1,"man, miv, var",
COMPTABLE AO @ FEDERATION EDVENTISTE,1,,comptable
MOBILE BANKING,1,,
REPARATEUR BATTERIE-TELEPHONE-RADIO-ECRAN,1,,
MPITAIZA ZAZA,1,mpi,
MPANENDY MOFO,1,"mofo, mpan",
DOKERA AMIN'NY MAGAZAY FIVAROTANA,1,var,
MANAMBOATRA SIPETY,1,man,
GERANTE,1,,
MANAMBOATRA GALETTE,1,man,
PROFESSEUR INTERMEDIAIRE DE L'ENSEIGNEMENT PRIMAIR,1,,
MANAMBOATRA VILANY,1,man,
VAROTRA KAREPOKA MANDENDE,1,"man, var",
GUICHETIER WC PUBLIC,1,,
MPANJARY TSIHY,1,mpan,
MANAO TRIAGE GIROFLE,1,man,
MPIVAROTRA FINDAY MIASA AMIN'NY TECHNO,1,"mpi, var",
²MANAMPY NY RENINY AMIN'NY ASA FAMBOLENA,1,"man, famb",
Mamboly vary sy mangahazo,1,"mam, man, var, vary, mboly",
MIVAROTRA AMIN GARGOTTE,1,"miv, var",
MANATITRA MPIANATRA,1,"mpi, man",
MPIHADY VATO SAFIRA,1,mpi,
MAGNIVANA RANONTANY,1,"tany, rano",
MPIVAROTRA BOUSON,1,"mpi, var",
MENUSIER EN BOIS,1,,
MPIVAROTRA VOANKAZO ANTSINJARANY ENY AN-TSENA,1,"mpi, var",
MPAMBOLY VOANJ0,1,"mboly, mpam",
MANAMPY FIANAKAVIANA AMIN FAMBOLENA VOANJO,1,"man, famb",
MANAMY FIANAKAVIANA AMIN FAMBOLENA,1,"man, famb",
MANAMPY FIANAKAVIANA AMIN FAMBOLENA MANGAHAZO,1,"man, famb",
MANAMPY FIANAKAVIANA MANAO FAMBOLENA VARY,1,"man, var, famb, vary",
Manjono Makamba,1,man,
MPAMATOTRA DRAKATRA,1,mpam,
MPIVATRA ENTANA MADINIKA,1,"mpi, entana",
MPANAMBOATRA CLARINNETTE,1,mpan,
RESPONSABLE VOLONTAIREAT,1,,responsable
MAMBOLUY VARY,1,"mam, var, vary",
MPIVAROTRA PUCE,1,"mpi, var",
SOCIO ORGANISATEUR,1,,
AGENT BATIMENT,1,,agent
MIAMBINA ONDRY,1,,
MIAMBINA AOMBY,1,omby,
MIVELI VARY,1,"miv, var, vary",
MANAMPAM-BARY,1,"man, mpam",
CONTROLEUR DE GESTION,1,,
OPERATEUR EN LIGNE,1,,
REDACTEUR WEB,1,,
DISTRIBUTEUR DES PRODUITS ALIMENTAIRE,1,,
MIVAROTRA MATERIELS DE BATIMENTS (CARREAU GRANITE),1,"miv, var",
0RGANISATEUR PETANQUE (CONCOURS),1,,
MPIVAROTRA SAMOSA SY MOFO ANANA,1,"mpi, var, mofo",
MPANARY FAKO,1,mpan,
SECURITE AMINY G4C,1,,
MIKIRAKA INFORMATIQUE,1,,
FIVAROTANA AKOHO AMAN'BORONA,1,"man, var, akoho",
MAMBOLY VARY ANY AMBANIVOHITRA,1,"mam, var, vary, mboly",
MIVAROTRA CACHE BOUCHE SY PATSA MENA,1,"miv, var",
MANOVO CREVETTE AMIN'NY VINANY,1,man,
GUIDE TOURISTIQUE,1,,
MPANANGONA HAZAN-DRANOMASINA,1,"rano, mpan",
MPIVAROTR ELECTROMENAGE,1,"mpi, var",
MPIVAROTRA TSONDRO MAINA,1,"mpi, var",
MIVAROTRA LAPIA,1,"miv, var",
MITONDRA MPIANATRA AMIN POUSY,1,mpi,
MIKARAMA MITAONA TANY,1,"tany, karama",
GARDIEN UGP,1,,
MANAMPY FANAOVANA CHARBON,1,man,
MANAMPY MIVAROTRA EPICERIE,1,"man, miv, var",
REPARATION BRIQUET,1,,
MPIVAROTRA PAISO KELY AMORONDALANA,1,"mpi, var",
